match_no,stage,group_or_round,match_label,team1,team2,pdf_filename,pdf_url,local_pdf_path,match_end_minute_est,players_parsed
37,Group stage,Group H,URU Uruguay 2 - 2 Cabo Verde CPV,Uruguay,Cabo Verde,PMSR-M37-URU-V-CPV.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M37-URU-V-CPV.pdf,D:\fifa_2026_match_report_pdfs\M37 - URU Uruguay 2 - 2 Cabo Verde CPV.pdf,93,52
38,Group stage,Group H,ESP Spain 4 - 0 Saudi Arabia KSA,Spain,Saudi Arabia,PMSR-M38-ESP-V-KSA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M38-ESP-V-KSA.pdf,D:\fifa_2026_match_report_pdfs\M38 - ESP Spain 4 - 0 Saudi Arabia KSA.pdf,90,52
39,Group stage,Group G,BEL Belgium 0 - 0 IR Iran IRN,Belgium,IR Iran,PMSR-M39-BEL-V-IRN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M39-BEL-V-IRN.pdf,D:\fifa_2026_match_report_pdfs\M39 - BEL Belgium 0 - 0 IR Iran IRN.pdf,90,52
40,Group stage,Group G,NZL New Zealand 1 - 3 Egypt EGY,New Zealand,Egypt,PMSR-M40-NZL-V-EGY.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M40-NZL-V-EGY.pdf,D:\fifa_2026_match_report_pdfs\M40 - NZL New Zealand 1 - 3 Egypt EGY.pdf,90,52
41,Group stage,Group I,NOR Norway 3 - 2 Senegal SEN,Norway,Senegal,PMSR-M41-NOR-V-SEN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M41-NOR-V-SEN.pdf,D:\fifa_2026_match_report_pdfs\M41 - NOR Norway 3 - 2 Senegal SEN.pdf,90,52
42,Group stage,Group I,FRA France 3 - 0 Iraq IRQ,France,Iraq,PMSR-M42-FRA-V-IRQ.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M42-FRA-V-IRQ.pdf,D:\fifa_2026_match_report_pdfs\M42 - FRA France 3 - 0 Iraq IRQ.pdf,90,52
43,Group stage,Group J,ARG Argentina 2 - 0 Austria AUT,Argentina,Austria,PMSR-M43-ARG-V-AUT.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf,D:\fifa_2026_match_report_pdfs\M43 - ARG Argentina 2 - 0 Austria AUT.pdf,92,52
44,Group stage,Group J,JOR Jordan 1 - 2 Algeria ALG,Jordan,Algeria,PMSR-M44-JOR-V-ALG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M44-JOR-V-ALG.pdf,D:\fifa_2026_match_report_pdfs\M44 - JOR Jordan 1 - 2 Algeria ALG.pdf,90,52
45,Group stage,Group L,ENG England 0 - 0 Ghana GHA,England,Ghana,PMSR-M45-ENG-V-GHA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M45-ENG-V-GHA.pdf,D:\fifa_2026_match_report_pdfs\M45 - ENG England 0 - 0 Ghana GHA.pdf,90,52
46,Group stage,Group L,PAN Panama 0 - 1 Croatia CRO,Panama,Croatia,PMSR-M46-PAN-V-CRO.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M46-PAN-V-CRO.pdf,D:\fifa_2026_match_report_pdfs\M46 - PAN Panama 0 - 1 Croatia CRO.pdf,92,52
